"","date","province","country","lat","long","type","cases"
"201",2020-10-06,"","Georgia",42.3154,43.3569,"recovered",268
"202",2020-10-05,"","Georgia",42.3154,43.3569,"confirmed",578
"203",2020-10-05,"","Georgia",42.3154,43.3569,"death",4
"204",2020-10-05,"","Georgia",42.3154,43.3569,"recovered",375
"205",2020-10-04,"","Georgia",42.3154,43.3569,"confirmed",554
"206",2020-10-04,"","Georgia",42.3154,43.3569,"death",2
"207",2020-10-04,"","Georgia",42.3154,43.3569,"recovered",252
"208",2020-10-03,"","Georgia",42.3154,43.3569,"confirmed",471
"209",2020-10-03,"","Georgia",42.3154,43.3569,"death",2
"210",2020-10-03,"","Georgia",42.3154,43.3569,"recovered",278
"211",2020-10-02,"","Georgia",42.3154,43.3569,"confirmed",453
"212",2020-10-02,"","Georgia",42.3154,43.3569,"death",5
"213",2020-10-02,"","Georgia",42.3154,43.3569,"recovered",295
"214",2020-10-01,"","Georgia",42.3154,43.3569,"confirmed",448
"215",2020-10-01,"","Georgia",42.3154,43.3569,"death",2
"216",2020-10-01,"","Georgia",42.3154,43.3569,"recovered",299
"217",2020-09-30,"","Georgia",42.3154,43.3569,"confirmed",326
"218",2020-09-30,"","Georgia",42.3154,43.3569,"death",3
"219",2020-09-30,"","Georgia",42.3154,43.3569,"recovered",796
"220",2020-09-29,"","Georgia",42.3154,43.3569,"confirmed",314
"221",2020-09-29,"","Georgia",42.3154,43.3569,"death",4
"222",2020-09-29,"","Georgia",42.3154,43.3569,"recovered",270
"223",2020-09-28,"","Georgia",42.3154,43.3569,"confirmed",298
"224",2020-09-28,"","Georgia",42.3154,43.3569,"death",4
"225",2020-09-28,"","Georgia",42.3154,43.3569,"recovered",148
"226",2020-09-27,"","Georgia",42.3154,43.3569,"confirmed",294
"227",2020-09-27,"","Georgia",42.3154,43.3569,"death",0
"228",2020-09-27,"","Georgia",42.3154,43.3569,"recovered",87
"229",2020-09-26,"","Georgia",42.3154,43.3569,"confirmed",296
"230",2020-09-26,"","Georgia",42.3154,43.3569,"death",1
"231",2020-09-26,"","Georgia",42.3154,43.3569,"recovered",60
"232",2020-09-25,"","Georgia",42.3154,43.3569,"confirmed",265
"233",2020-09-25,"","Georgia",42.3154,43.3569,"death",1
"234",2020-09-25,"","Georgia",42.3154,43.3569,"recovered",54
"235",2020-09-24,"","Georgia",42.3154,43.3569,"confirmed",259
"236",2020-09-24,"","Georgia",42.3154,43.3569,"death",1
"237",2020-09-24,"","Georgia",42.3154,43.3569,"recovered",62
"238",2020-09-23,"","Georgia",42.3154,43.3569,"confirmed",227
"239",2020-09-23,"","Georgia",42.3154,43.3569,"death",2
"240",2020-09-23,"","Georgia",42.3154,43.3569,"recovered",69
"241",2020-09-22,"","Georgia",42.3154,43.3569,"confirmed",218
"242",2020-09-22,"","Georgia",42.3154,43.3569,"death",3
"243",2020-09-22,"","Georgia",42.3154,43.3569,"recovered",40
"244",2020-09-21,"","Georgia",42.3154,43.3569,"confirmed",193
"245",2020-09-21,"","Georgia",42.3154,43.3569,"death",1
"246",2020-09-21,"","Georgia",42.3154,43.3569,"recovered",40
"247",2020-09-20,"","Georgia",42.3154,43.3569,"confirmed",196
"248",2020-09-20,"","Georgia",42.3154,43.3569,"death",0
"249",2020-09-20,"","Georgia",42.3154,43.3569,"recovered",13
"250",2020-09-19,"","Georgia",42.3154,43.3569,"confirmed",187
"251",2020-09-19,"","Georgia",42.3154,43.3569,"death",0
"252",2020-09-19,"","Georgia",42.3154,43.3569,"recovered",46
"253",2020-09-18,"","Georgia",42.3154,43.3569,"confirmed",182
"254",2020-09-18,"","Georgia",42.3154,43.3569,"death",0
"255",2020-09-18,"","Georgia",42.3154,43.3569,"recovered",13
"256",2020-09-17,"","Georgia",42.3154,43.3569,"confirmed",179
"257",2020-09-17,"","Georgia",42.3154,43.3569,"death",0
"258",2020-09-17,"","Georgia",42.3154,43.3569,"recovered",10
"259",2020-09-16,"","Georgia",42.3154,43.3569,"confirmed",196
"260",2020-09-16,"","Georgia",42.3154,43.3569,"death",0
"261",2020-09-16,"","Georgia",42.3154,43.3569,"recovered",43
"262",2020-09-15,"","Georgia",42.3154,43.3569,"confirmed",170
"263",2020-09-15,"","Georgia",42.3154,43.3569,"death",0
"264",2020-09-15,"","Georgia",42.3154,43.3569,"recovered",0
"265",2020-09-14,"","Georgia",42.3154,43.3569,"confirmed",165
"266",2020-09-14,"","Georgia",42.3154,43.3569,"death",0
"267",2020-09-14,"","Georgia",42.3154,43.3569,"recovered",0
"268",2020-09-13,"","Georgia",42.3154,43.3569,"confirmed",152
"269",2020-09-13,"","Georgia",42.3154,43.3569,"death",0
"270",2020-09-13,"","Georgia",42.3154,43.3569,"recovered",6
"271",2020-09-12,"","Georgia",42.3154,43.3569,"confirmed",158
"272",2020-09-12,"","Georgia",42.3154,43.3569,"death",0
"273",2020-09-12,"","Georgia",42.3154,43.3569,"recovered",9
"274",2020-09-11,"","Georgia",42.3154,43.3569,"confirmed",87
"275",2020-09-11,"","Georgia",42.3154,43.3569,"death",0
"276",2020-09-11,"","Georgia",42.3154,43.3569,"recovered",20
"277",2020-09-10,"","Georgia",42.3154,43.3569,"confirmed",57
"278",2020-09-10,"","Georgia",42.3154,43.3569,"death",0
"279",2020-09-10,"","Georgia",42.3154,43.3569,"recovered",9
"280",2020-09-09,"","Georgia",42.3154,43.3569,"confirmed",44
"281",2020-09-09,"","Georgia",42.3154,43.3569,"death",0
"282",2020-09-09,"","Georgia",42.3154,43.3569,"recovered",4
"283",2020-09-08,"","Georgia",42.3154,43.3569,"confirmed",45
"284",2020-09-08,"","Georgia",42.3154,43.3569,"death",0
"285",2020-09-08,"","Georgia",42.3154,43.3569,"recovered",6
"286",2020-09-07,"","Georgia",42.3154,43.3569,"confirmed",34
"287",2020-09-07,"","Georgia",42.3154,43.3569,"death",0
"288",2020-09-07,"","Georgia",42.3154,43.3569,"recovered",5
"289",2020-09-06,"","Georgia",42.3154,43.3569,"confirmed",29
"290",2020-09-06,"","Georgia",42.3154,43.3569,"death",0
"291",2020-09-06,"","Georgia",42.3154,43.3569,"recovered",8
"292",2020-09-05,"","Georgia",42.3154,43.3569,"confirmed",25
"293",2020-09-05,"","Georgia",42.3154,43.3569,"death",0
"294",2020-09-05,"","Georgia",42.3154,43.3569,"recovered",8
"295",2020-09-04,"","Georgia",42.3154,43.3569,"confirmed",28
"296",2020-09-04,"","Georgia",42.3154,43.3569,"death",0
"297",2020-09-04,"","Georgia",42.3154,43.3569,"recovered",15
"298",2020-09-03,"","Georgia",42.3154,43.3569,"confirmed",20
"299",2020-09-03,"","Georgia",42.3154,43.3569,"death",0
"300",2020-09-03,"","Georgia",42.3154,43.3569,"recovered",9
"301",2020-09-02,"","Georgia",42.3154,43.3569,"confirmed",38
"302",2020-09-02,"","Georgia",42.3154,43.3569,"death",0
"303",2020-09-02,"","Georgia",42.3154,43.3569,"recovered",17
"304",2020-09-01,"","Georgia",42.3154,43.3569,"confirmed",23
"305",2020-09-01,"","Georgia",42.3154,43.3569,"death",0
"306",2020-09-01,"","Georgia",42.3154,43.3569,"recovered",13
"307",2020-08-31,"","Georgia",42.3154,43.3569,"confirmed",18
"308",2020-08-31,"","Georgia",42.3154,43.3569,"death",0
"309",2020-08-31,"","Georgia",42.3154,43.3569,"recovered",19
"310",2020-08-30,"","Georgia",42.3154,43.3569,"confirmed",7
"311",2020-08-30,"","Georgia",42.3154,43.3569,"death",0
"312",2020-08-30,"","Georgia",42.3154,43.3569,"recovered",25
"313",2020-08-29,"","Georgia",42.3154,43.3569,"confirmed",7
"314",2020-08-29,"","Georgia",42.3154,43.3569,"death",0
"315",2020-08-29,"","Georgia",42.3154,43.3569,"recovered",0
"316",2020-08-28,"","Georgia",42.3154,43.3569,"confirmed",8
"317",2020-08-28,"","Georgia",42.3154,43.3569,"death",0
"318",2020-08-28,"","Georgia",42.3154,43.3569,"recovered",6
"319",2020-08-27,"","Georgia",42.3154,43.3569,"confirmed",11
"320",2020-08-27,"","Georgia",42.3154,43.3569,"death",0
"321",2020-08-27,"","Georgia",42.3154,43.3569,"recovered",40
"322",2020-08-26,"","Georgia",42.3154,43.3569,"confirmed",7
"323",2020-08-26,"","Georgia",42.3154,43.3569,"death",0
"324",2020-08-26,"","Georgia",42.3154,43.3569,"recovered",0
"325",2020-08-25,"","Georgia",42.3154,43.3569,"confirmed",8
"326",2020-08-25,"","Georgia",42.3154,43.3569,"death",1
"327",2020-08-25,"","Georgia",42.3154,43.3569,"recovered",13
"328",2020-08-24,"","Georgia",42.3154,43.3569,"confirmed",10
"329",2020-08-24,"","Georgia",42.3154,43.3569,"death",1
"330",2020-08-24,"","Georgia",42.3154,43.3569,"recovered",5
"331",2020-08-23,"","Georgia",42.3154,43.3569,"confirmed",17
"332",2020-08-23,"","Georgia",42.3154,43.3569,"death",0
"333",2020-08-23,"","Georgia",42.3154,43.3569,"recovered",0
"334",2020-08-22,"","Georgia",42.3154,43.3569,"confirmed",9
"335",2020-08-22,"","Georgia",42.3154,43.3569,"death",0
"336",2020-08-22,"","Georgia",42.3154,43.3569,"recovered",4
"337",2020-08-21,"","Georgia",42.3154,43.3569,"confirmed",15
"338",2020-08-21,"","Georgia",42.3154,43.3569,"death",0
"339",2020-08-21,"","Georgia",42.3154,43.3569,"recovered",20
"340",2020-08-20,"","Georgia",42.3154,43.3569,"confirmed",9
"341",2020-08-20,"","Georgia",42.3154,43.3569,"death",0
"342",2020-08-20,"","Georgia",42.3154,43.3569,"recovered",10
"343",2020-08-19,"","Georgia",42.3154,43.3569,"confirmed",10
"344",2020-08-19,"","Georgia",42.3154,43.3569,"death",0
"345",2020-08-19,"","Georgia",42.3154,43.3569,"recovered",6
"346",2020-08-18,"","Georgia",42.3154,43.3569,"confirmed",10
"347",2020-08-18,"","Georgia",42.3154,43.3569,"death",0
"348",2020-08-18,"","Georgia",42.3154,43.3569,"recovered",0
"349",2020-08-17,"","Georgia",42.3154,43.3569,"confirmed",5
"350",2020-08-17,"","Georgia",42.3154,43.3569,"death",0
"351",2020-08-17,"","Georgia",42.3154,43.3569,"recovered",4
