"","Country","Latitude","Longitude","GDP","Yield_Trend","Ave_Ag_Terr","Ave_Ag_T_L5","Ag_2011","Ave_Fert","Ave_Fert_L5","Fert_2011","ave_N_cons","N_cons_2011","Last_5","Ave_pop_growth","working_rat","Country1"
"28","Lithuania",56,24,153.015059590909,1,3030710,2727040,2805900,56070.15,47163.4,52460,0.0185006648607092,0.0186963184717916,0.0172947224829852,0.14342392762963,34.1030696648148,NA
"29","Madagascar",-20,47,-3.88437043461538,1,37213901.9607843,41234600,41395000,4353.33333333333,5343.2,5755,0.000116981372658015,0.000139026452470105,0.000129580497931349,2.82747408546296,86.9393684146296,NA
"30","Mali",17,-4,4.54357587333333,1,34489901.9607843,40950200,41621000,19046.2156862745,78932.4,113463,0.000552225857525789,0.0027260998053867,0.00192752172150563,2.05422772561111,84.4746515809259,NA
"31","Malta",35.8333,14.5833,316.879064238095,1,12458.8235294118,9700,10300,549.490196078431,401.6,375,0.0441045011016682,0.0364077669902913,0.0414020618556701,0.508287997924528,39.0007648138889,NA
"32","Mauritania",20,-12,6.42588301923077,1,39592823.5294118,39679000,39711000,1355.73170731707,NA,NA,3.42418546206981e-05,NA,NA,2.8512917927963,83.1715329587037,NA
"33","Mexico",23,-102,100.608083865385,0,101481411.764706,102852800,103166000,910046.666666667,1148428.4,1417223,0.00896761929935203,0.0137373068646647,0.0111657475537856,2.19222502905556,73.1837427011111,NA
"34","Namibia",-22,17,33.35186365625,1,38711215.6862745,38808400,38809000,382.803921568627,2106,4866,9.888708344139e-06,0.000125383287381793,5.42666020758392e-05,2.52712351001852,79.2076712846296,NA
"35","Netherlands",52.5,5.75,525.82589,0,2045554.90196078,1912920,1894800,368483.274509804,225346.8,212312,0.180138540479452,0.112049820561537,0.117802521799134,0.740681919703704,33.4636811316667,NA
"36","New Zealand",-41,174,269.764960714286,1,15138764.7058824,11426000,11371000,99112.9803921569,257333.8,253714,0.00654696617047263,0.0223123735819189,0.0225217748993524,1.13731577149057,41.3539211138889,NA
"37","Norway",62,10,928.549980769231,0,992268.235294118,1014936,998000,95945.5882352941,97163,95552,0.096693197285364,0.0957434869739479,0.0957331299707568,0.664482561537037,33.4688290024074,NA
"38","Oman",21,57,242.439157942308,1,1168468.62745098,1769380,1770500,3437.72549019608,8588.6,17360,0.00294207769847916,0.00980513979101949,0.00485401666120336,3.53210909809259,75.0004748207407,NA
"39","Pakistan",30,70,10.6447504153846,1,25540137.254902,26496000,26550000,1352232.45098039,3246574.6,3357572,0.052945386999471,0.126462222222222,0.122530744263285,2.61119298048148,76.1014843714815,NA
"40","Paraguay",-23,-58,22.0922302115385,1,15582568.627451,20849400,20990000,15301.9019607843,75347.4,100585,0.000981988420947992,0.00479204383039543,0.00361388816944372,2.40366985477778,76.6434530096296,NA
"41","Poland",52,20,265.865298318182,0,18490960.7843137,15566600,14779000,968472.823529412,1162067.2,1453636,0.0523754733367337,0.0983582109750321,0.0746513175645292,0.547736699703704,35.8439715885185,NA
"42","Qatar",25.5,51.25,763.112240833333,0,58658.8235294118,66000,66000,8287.90196078431,66700,143060,0.141289945179837,2.16757575757576,1.01060606060606,7.2151943005,44.2040631001852,"Qatar"
"43","Romania",46,25,66.412708,0,14724647.0588235,13804600,13982000,431486.333333333,292103.6,313333,0.0293036791720431,0.0224097410956945,0.0211598742448169,0.165726152388889,33.9589655774074,NA
"44","Saudi Arabia",25,45,184.002780909091,1,123417725.490196,173478400,173355000,121297.509803922,199438,265650,0.000982820817043473,0.00153240460327075,0.0011496416844979,3.67939291681481,73.1423130668519,NA
"45","Slovenia",46,15,277.961245909091,1,507790,479960,458500,32756.15,27182,26679,0.064507276630103,0.0581875681570338,0.0566338861571798,0.502874001074074,30.6031146994444,NA
"46","South Africa",-29,24,47.7663869615385,1,96286725.4901961,96850200,96374000,327689.647058824,413219.8,390000,0.00340326919822597,0.00404673459646793,0.00426658695593814,2.10792815261111,65.1001515901852,NA
"47","South Korea",37,127.5,386.375722211539,0,2120019.60784314,1796200,1756000,373084.529411765,258605.2,220061,0.175981640939318,0.125319476082005,0.143973499610288,1.34464558803704,48.0988015544444,NA
"48","Spain",40,-4,358.803497461538,1,30725632.3529412,27839050,27534250,844320.745098039,858896.6,846700,0.0274793610559236,0.0307507921951751,0.0308522237648196,0.810302175703704,33.1979418196296,NA
"49","Sweden",62,15,556.173145,0,3506941.17647059,3092000,3066000,204721.235294118,166760,169800,0.0583760106008252,0.0553816046966732,0.0539327296248383,0.47191154037037,29.4450997318519,"Sweden"
"50","Switzerland",47,8,425.608947619048,0,1620696.07843137,1537560,1531600,50979.3725490196,50043.8,46819,0.0314552328641167,0.0305686863410812,0.032547542860116,0.811767678407407,29.0626270814815,NA
"51","Syria",35,38,22.8572768361702,1,13939862.745098,13895000,13864000,129174.529411765,198956.4,131921,0.00926655676413952,0.00951536353144835,0.0143185606333213,3.03027302327778,87.0877235737037,NA
